underlying,ts,bid,ask,spot,runbet_spot
frxAUDJPY,2014-04-29 00:00:00,94.854,94.871,94.863,94.863
frxAUDJPY,2014-04-29 00:00:01,94.855,94.872,94.863,94.863
frxAUDJPY,2014-04-29 00:00:02,94.853,94.871,94.862,94.862
frxAUDJPY,2014-04-29 00:00:03,94.857,94.868,94.862,94.862
frxAUDJPY,2014-04-29 00:00:04,94.853,94.871,94.862,94.862
frxAUDJPY,2014-04-29 00:00:06,94.853,94.873,94.862,94.862
frxAUDJPY,2014-04-29 00:00:07,94.857,94.869,94.863,94.863
frxAUDJPY,2014-04-29 00:00:08,94.856,94.873,94.863,94.863
frxAUDJPY,2014-04-29 00:00:09,94.856,94.872,94.863,94.863
frxAUDJPY,2014-04-29 00:00:10,94.854,94.872,94.863,94.863
frxAUDJPY,2014-04-29 00:00:11,94.854,94.871,94.862,94.862
frxAUDJPY,2014-04-29 00:00:12,94.856,94.873,94.863,94.863
frxAUDJPY,2014-04-29 00:00:13,94.854,94.872,94.863,94.863
frxAUDJPY,2014-04-29 00:00:14,94.859,94.875,94.866,94.866
frxAUDJPY,2014-04-29 00:00:15,94.856,94.871,94.863,94.863
frxAUDJPY,2014-04-29 00:00:16,94.854,94.873,94.863,94.863
frxAUDJPY,2014-04-29 00:00:18,94.846,94.882,94.863,94.863
frxAUDJPY,2014-04-29 00:00:19,94.847,94.864,94.856,94.856
frxAUDJPY,2014-04-29 00:00:20,94.848,94.867,94.857,94.857
frxAUDJPY,2014-04-29 00:00:21,94.841,94.87,94.856,94.856
frxAUDJPY,2014-04-29 00:00:22,94.853,94.862,94.857,94.857
frxAUDJPY,2014-04-29 00:00:23,94.85,94.868,94.858,94.858
frxAUDJPY,2014-04-29 00:00:24,94.854,94.868,94.863,94.863
frxAUDJPY,2014-04-29 00:00:26,94.855,94.871,94.862,94.862
frxAUDJPY,2014-04-29 00:00:27,94.85,94.872,94.862,94.862
frxAUDJPY,2014-04-29 00:00:28,94.85,94.871,94.861,94.861
frxAUDJPY,2014-04-29 00:00:29,94.855,94.868,94.862,94.862
frxAUDJPY,2014-04-29 00:00:30,94.861,94.866,94.862,94.862
frxAUDJPY,2014-04-29 00:00:31,94.853,94.869,94.861,94.861
frxAUDJPY,2014-04-29 00:00:32,94.859,94.871,94.865,94.865
frxAUDJPY,2014-04-29 00:00:33,94.857,94.87,94.863,94.863
