Indicator Name,Code,Source
"Agricultural machinery, tractors",AG_AGR_TRAC_NO,WORLDBANK
"Cereal food aid deliveries (FAO, tonnes)",AG_AID_CREL_MT,WORLDBANK
"Total food (cereals and non-cereal) food aid deliveries (FAO, tonnes)",AG_AID_FOOD_MT,WORLDBANK
"Non-cereal food aid deliveries (FAO, tonnes)",AG_AID_NCREL_MT,WORLDBANK
Fertilizer consumption (metric tons),AG_CON_FERT_MT,WORLDBANK
Fertilizer consumption (% of fertilizer production),AG_CON_FERT_PT_ZS,WORLDBANK
Fertilizer consumption (kilograms per hectare of arable land),AG_CON_FERT_ZS,WORLDBANK
"Producer Price for Barley (per tonne, current US$)",AG_CRP_BLY_CD,WORLDBANK
"Producer Price for Barley (per tonne, current LCU)",AG_CRP_BLY_CN,WORLDBANK
"Producer Price for Fonio (per tonne, current US$)",AG_CRP_FNO_CD,WORLDBANK
"Producer Price for Fonio (per tonne, current LCU)",AG_CRP_FNO_CN,WORLDBANK
"Producer Price for Millet (per tonne, current US$)",AG_CRP_MLT_CD,WORLDBANK
"Producer Price for Millet (per tonne, current LCU)",AG_CRP_MLT_CN,WORLDBANK
"Producer Price for Maize (per tonne, current US$)",AG_CRP_MZE_CD,WORLDBANK
"Producer Price for Maize (per tonne, current LCU)",AG_CRP_MZE_CN,WORLDBANK
"Producer Price for Rice, paddy (per tonne, current US$)",AG_CRP_RICE_CD,WORLDBANK
"Producer Price for Rice, paddy (per tonne, current LCU)",AG_CRP_RICE_CN,WORLDBANK
"Producer Price for Sorghum (per tonne, current US$)",AG_CRP_SGM_CD,WORLDBANK
"Producer Price for Sorghum (per tonne, current LCU)",AG_CRP_SGM_CN,WORLDBANK
"Producer Price for Wheat (per tonne, current US$)",AG_CRP_WHT_CD,WORLDBANK
"Producer Price for Wheat (per tonne, current LCU)",AG_CRP_WHT_CN,WORLDBANK
Wood charcoal production quantity (tonnes),AG_FRST_PROD_CHAR,WORLDBANK
"Wood fuel production quantity (CUM, solid volume units)",AG_FRST_PROD_WOOD,WORLDBANK
Agricultural land (hectares),AG_LND_AGRI_HA,WORLDBANK
Agricultural land (sq. km),AG_LND_AGRI_K2,WORLDBANK
Agricultural land (% of land area),AG_LND_AGRI_ZS,WORLDBANK
Arable land (hectares),AG_LND_ARBL_HA,WORLDBANK
Arable land (hectares per person),AG_LND_ARBL_HA_PC,WORLDBANK
Arable land (% of land area),AG_LND_ARBL_ZS,WORLDBANK
Land under barley production (hectares),AG_LND_BLY_HA,WORLDBANK
Cereal cropland (% of land area),AG_LND_CERE_ZS,WORLDBANK
Land under cereal production (hectares),AG_LND_CREL_HA,WORLDBANK
Permanent cropland (hectares),AG_LND_CROP_HA,WORLDBANK
Permanent cropland (% of land area),AG_LND_CROP_ZS,WORLDBANK
Arable and permanent cropland (hectares),AG_LND_CRPA_HA,WORLDBANK
Land area where elevation is below 5 meters (% of total land area),AG_LND_EL5M_ZS,WORLDBANK
Land under fonio production (hectares),AG_LND_FNO_HA,WORLDBANK
Forest area (hectares),AG_LND_FRST_HA,WORLDBANK
Forest area (sq. km),AG_LND_FRST_K2,WORLDBANK
Forest area (% of land area),AG_LND_FRST_ZS,WORLDBANK
Agricultural irrigated land (% of total agricultural land),AG_LND_IRIG_AG_ZS,WORLDBANK
Agricultural area irrigated (ha),AG_LND_IRIG_HA_AG,WORLDBANK
Land area equipped for irrigation (hectares),AG_LND_IRIG_PO_HA,WORLDBANK
Land under millet production (hectares),AG_LND_MLT_HA,WORLDBANK
Land under maize production (hectares),AG_LND_MZE_HA,WORLDBANK
Average precipitation in depth (mm per year),AG_LND_PRCP_MM,WORLDBANK
Land under rice production (hectares),AG_LND_RICE_HA,WORLDBANK
Land under sorghum production (hectares),AG_LND_SGM_HA,WORLDBANK
Land area (hectares),AG_LND_TOTL_HA,WORLDBANK
Land area (sq. km),AG_LND_TOTL_K2,WORLDBANK
"Agricultural machinery, tractors per 100 sq. km of arable land",AG_LND_TRAC_ZS,WORLDBANK
Land under wheat production (hectares),AG_LND_WHT_HA,WORLDBANK
Agriculture production index (1999-2001 = 100),AG_PRD_AGRI_XD,WORLDBANK
Barley production (metric tons),AG_PRD_BLY_MT,WORLDBANK
Cereal production (metric tons),AG_PRD_CREL_MT,WORLDBANK
Cereal production index (1999-2001 = 100),AG_PRD_CREL_XD,WORLDBANK
Crop production index (2004-2006 = 100),AG_PRD_CROP_XD,WORLDBANK
Fonio production (metric tons),AG_PRD_FNO_MT,WORLDBANK
Food production index (2004-2006 = 100),AG_PRD_FOOD_XD,WORLDBANK
"Agriculture production index (gross, 1999-2001 = 100)",AG_PRD_GAGRI_XD,WORLDBANK
"Cereal production index (gross, 1999-2001 = 100)",AG_PRD_GCREL_XD,WORLDBANK
"Crop production index (gross, 1999-2001 = 100)",AG_PRD_GCROP_XD,WORLDBANK
"Food production index (gross, 1999-2001 = 100)",AG_PRD_GFOOD_XD,WORLDBANK
"Livestock production index (gross, 1999-2001 = 100)",AG_PRD_GLVSK_XD,WORLDBANK
"Non-food production index (gross, 1999-2001 = 100)",AG_PRD_GNFOOD_XD,WORLDBANK
Livestock production index (2004-2006 = 100),AG_PRD_LVSK_XD,WORLDBANK
Millet production (metric tons),AG_PRD_MLT_MT,WORLDBANK
Maize production (metric tons),AG_PRD_MZE_MT,WORLDBANK
Gross non-food production index (1999-2001 = 100),AG_PRD_NFOOD_XD,WORLDBANK
Rice production (metric tons),AG_PRD_RICE_MT,WORLDBANK
Sorghum production (metric tons),AG_PRD_SGM_MT,WORLDBANK
Wheat production (metric tons),AG_PRD_WHT_MT,WORLDBANK
"Barley seed quantity (FAO, metric tonnes)",AG_SED_BLY_MT,WORLDBANK
"Cereal seed quantity (FAO, metric tonnes)",AG_SED_CREL_MT,WORLDBANK
"Fonio seed quantity (FAO, metric tonnes)",AG_SED_FNO_MT,WORLDBANK
"Millet seed quantity (FAO, metric tonnes)",AG_SED_MLT_MT,WORLDBANK
"Maize seed quantity (FAO, metric tonnes)",AG_SED_MZE_MT,WORLDBANK
"Rice seed quantity (FAO, metric tonnes)",AG_SED_RICE_MT,WORLDBANK
"Sorghum seed quantity (FAO, metric tonnes)",AG_SED_SGM_MT,WORLDBANK
"Wheat seed quantity (FAO, metric tonnes)",AG_SED_WHT_MT,WORLDBANK
Surface area (ha),AG_SRF_TOTL_HA,WORLDBANK
Surface area (sq. km),AG_SRF_TOTL_K2,WORLDBANK
Barley yield (kg per hectare),AG_YLD_BLY_KG,WORLDBANK
Cereal yield (kg per hectare),AG_YLD_CREL_KG,WORLDBANK
Fonio yield (kg per hectare),AG_YLD_FNO_KG,WORLDBANK
Millet yield (kg per hectare),AG_YLD_MLT_KG,WORLDBANK
Maize yield (kg per hectare),AG_YLD_MZE_KG,WORLDBANK
Rice yield (kg per hectare),AG_YLD_RICE_KG,WORLDBANK
Sorghum yield (kg per hectare),AG_YLD_SGM_KG,WORLDBANK
Wheat yield (kg per hectare),AG_YLD_WHT_KG,WORLDBANK
Beneficiaries' per capita transfer -  All Social Safety Nets ,allsa_avt_pop,WORLDBANK
Beneficiaries' per capita transfer held by 1st 20% population - All Social Safety Nets ,allsa_avt_q1,WORLDBANK
Beneficiaries' per capita transfer held by 2nd 20% population - All Social Safety Nets ,allsa_avt_q2,WORLDBANK
Beneficiaries' per capita transfer held by 3rd 20% population - All Social Safety Nets ,allsa_avt_q3,WORLDBANK
Beneficiaries' per capita transfer held by 4th 20% population - All Social Safety Nets ,allsa_avt_q4,WORLDBANK
Beneficiaries' per capita transfer held by 5th 20% population - All Social Safety Nets ,allsa_avt_q5,WORLDBANK
(%) Benefits held by 1st 20% population - All Social Safety Nets,allsa_bi_q1,WORLDBANK
(%) Benefits held by 2nd 20% population - All Social Safety Nets,allsa_bi_q2,WORLDBANK
(%) Benefits held by 3rd 20% population - All Social Safety Nets,allsa_bi_q3,WORLDBANK
(%) Benefits held by 4th 20% population - All Social Safety Nets,allsa_bi_q4,WORLDBANK
(%) Benefits held by 5th 20% population - All Social Safety Nets,allsa_bi_q5,WORLDBANK
(%) Program beneficiaries in 1st 20% population - All Social Safety Nets,allsa_byi_q1,WORLDBANK
(%) Program beneficiaries in 2nd 20% population - All Social Safety Nets,allsa_byi_q2,WORLDBANK
(%) Program beneficiaries in 3rd 20% population - All Social Safety Nets,allsa_byi_q3,WORLDBANK
(%) Program beneficiaries in 4th 20% population - All Social Safety Nets,allsa_byi_q4,WORLDBANK
(%) Program beneficiaries in 5th 20% population - All Social Safety Nets,allsa_byi_q5,WORLDBANK
Cost-benefit ratio - All Social Safety Nets,allsa_cba_q1,WORLDBANK
Concentration index - All Social Safety Nets,allsa_cdg_ci,WORLDBANK
CGH held by poorest 10% - All Social Safety Nets,allsa_cdg_d1,WORLDBANK
CGH held by poorest 20% population - All Social Safety Nets,allsa_cdg_q1,WORLDBANK
(%) Program participation - All Social Safety Nets,allsa_cov_pop,WORLDBANK
(%) Program participation by 1st 20%  -  All Social Safety Nets,allsa_cov_q1,WORLDBANK
(%) Program participation by 2nd 20%  -  All Social Safety Nets,allsa_cov_q2,WORLDBANK
(%) Program participation by 3rd 20%  -  All Social Safety Nets,allsa_cov_q3,WORLDBANK
